gu2-de3,AN
{d}dumu-zi-da-a,DN
{d}utu-ka,DN
{d}lugal-...,DN
{d}nin-pirig,DN
...-gin7,DN
x-x-a,DN
lugal-edin-ne2,DN
{d}pa4-u2,DN
{d}nin-lil2-ra,DN
{d}en-lil2,DN
nun,DN
{d}nin-ha-mu-DU,DN
{d}en-lil2-la2-ka,DN
{d}inanna,DN
{d}ul-ma-si-tum,DN
...-ba,DN
{d}en-lil2-la2-ka,DN
{d}ka3-ka3,DN
x-x-kam,DN
x-ba-am3,DN
{d}en-zi-kalam-ma,DN
{d}da-gan,DN
{d}nin-kas4,DN
{d}lugal-banda3,DN
...-e-ne,DN
x-ne,DN
{d}...,DN
{d}nin-e2-gi4-a,DN
{d}nin-x-x,DN
{d}szul-sza3-ga,DN
{d}x-sag,DN
{d}inanna,DN
{d}al-la-tum,DN
x-ke4-ne,DN
{d}na-na-a,DN
{d}sag-NE,DN
{d}mes-lam,DN
...-a-mu,DN
{d}inanna,DN
{d}nin-urta-kam,DN
{d}da,DN
{d}nanna,DN
ma-al-ku-um,DN
{d}lugal-ki-sa2-a,DN
{d}nin-esz3-gal,DN
{d}ba-ba6-ka-ka,DN
{d}nin-ur4-ra,DN
{d}inanna,DN
{d}inanna,DN
x-isz,DN
nin-x-na,DN
{d}inanna,DN
{d}szara2,DN
x-x-um,DN
{d}dam-gal-nun-na,DN
{d}nin-e11,DN
{d}nin-si4-an-na,DN
{d}szu-zi-an-na,DN
{d}mar-tu,DN
{d}nin-dub,DN
{d}pa-bil2-sag,DN
...-na,DN
nin-gal-zu,DN
{d}nu-musz-da,DN
{d}lugal-ni,DN
{d}lugal-i7-da,DN
anzu2,DN
{d}lamma-ki-NE,DN
{d}nanna,DN
{d}inanna,DN
{d}inanna,DN
{d}lu2-uru11{ki},DN
{d}en-lil2-le-kam,DN
{d}en-ki,DN
{d}nin-lil2-la2,DN
{d}bappir3,DN
asar-lu2-hi,DN
{d}a-nun-na-ke4-ne,DN
{d}nin-zabala3{ki},DN
{d}nin-lil2,DN
x-a-ne,DN
{d}en-lil2,DN
an-na-sze3,DN
en-lil2-la2,DN
{d}nin-mar{ki}-sze3(TUG2),DN
{d}inanna,DN
{d}nin-lil2-la2,DN
{d}x-x,DN
{d}nansze-gar-ra,DN
{d}inanna,DN
{d}inanna,DN
{d}asznan,DN
{d}inanna-za-an-ka,DN
zabala3,DN
{d}na-na-a,DN
{d}inanna,DN
{d}nin-lil2-la2-ke4-ne,DN
{d}szul-x-x,DN
{d}lamma-kal,DN
{d}inanna,DN
ne-ti,DN
{d}nin-zabala{ki},DN
{d}nanna,DN
{d}en-lil2,DN
{d}inanna,DN
{d}nin-e2-gi4-a,DN
nun-gal,DN
{d}inanna,DN
{d}nin-ur4-ra,DN
{d}nin-hur-sag-ka,DN
{d}szara2,DN
x-la-a-bi,DN
{d}inanna,DN
{d}nin-ti-ug5-ga,DN
{d}nin-PESZ2,DN
{d}ku3-su3,DN
{d}lamma-{d}ba-ba6,DN
{d}nin-x,DN
{d}nin-ti2-ug5-ga,DN
{d}pa4-u2-e,DN
en-...,DN
{d}nanna,DN
x-na,DN
{d}en-lil2-la2-ke4-ne,DN
...-a-zu,DN
{d}x-edin-ka,DN
{d}a2-an-da,DN
{d}nin-inim-gi-na,DN
{d}inanna,DN
{d}nin-he2-gal2-x,DN
{d}ki-za,DN
{d}ugula-ukken,DN
{d}szul-gi-ra,DN
{d}nin-kar2,DN
{d}x-na,DN
{d}gu-la,DN
{d}a-a-mu,DN
{d}x,DN
{d}lugal-uru11{ki}-a-ma-nu,DN
{d}inanna,DN
{d}inanna,DN
HAR,DN
{d}inanna,DN
{d}nin-gir2-su2-ka,DN
{d}szara2,DN
{d}lugal-mar2-da,DN
{d}inanna,DN
{d}nin-gesz-te-te,DN
{d}nin-eb-gal,DN
{d}nanna,DN
{d}nanna,DN
{d}inanna,DN
{d}nanna-mu,DN
{d}nin-urta-x,DN
x-ga2,DN
{d}inanna,DN
{d}lugal-kur2-elam,DN
{d}nin-gir2-su2,DN
{d}bi2-ti,DN
{d}lugal-hur-sag,DN
x-x-kal-la,DN
{d}ba-ba6,DN
{d}szul-pa-e3,DN
{d}nin-a2-gal-ka,DN
{d}inanna,DN
{d}i7-lu2-ru-gu2-ka,DN
AN-gu,DN
{d}inanna,DN
{d}nin-tu-ka,DN
{d}pa5-u2-e,DN
{d}e2-a,DN
{d}hendur-sag,DN
dingir-mah,DN
{d}nin-gesz-zi-da,DN
{d}en-lil2-le,DN
x-e-ne,DN
{d}be-la-at-suh-ner,DN
{d}nin-hur-sag,DN
{d}lum-ma,DN
an,DN
{d}nanna,DN
{d}id2-de3-de3,DN
{d}inanna-ta,DN
{d}gu-la-kam,DN
{d}eb,DN
{d}nin-e2-dar-a,DN
{d}nin-da,DN
x-a,DN
{d}nin-gesztin-an-ka,DN
{d}inanna,DN
{d}nin-tug2-a,DN
{d}en-nu-gi4,DN
{d}nin-mar{ki},DN
x-im,DN
{d}nin-ki-sur-ra-ka,DN
{d}ba-ba6-na,DN
{d}inanna,DN
x-ur2,DN
ba-ba6-da,DN
da-da-gu-la,DN
{d}dam-ki-na,DN
{d}nisaba,DN
{d}inanna,DN
{d}inanna,DN
{d}da-mu,DN
{d}nin-ur4-ra,DN
{d}ul-ma-si-tum-ma,DN
...-kam,DN
x-a-kam,DN
{d}na-an-na,DN
{d}nusku,DN
{d}nanna,DN
{d}i,DN
{d}inanna,DN
{d}utu,DN
{d}nin-e2-x-szir,DN
{d}lugal-zimbir(|UD.NUN.KIB|){ki},DN
{d}inanna,DN
{d}en-lil2-ra,DN
{d}nin-{d}da-lagasz{ki},DN
{d}szara2,DN
{d}pa-bil-sag-ka,DN
asar-re2,DN
nin-zag-ge,DN
{d}nin-szubur,DN
{d}nigar{gar},DN
{d}szara2,DN
{d}nanna,DN
x-x-a-mu,DN
{d}inanna,DN
{d}inanna,DN
{d}pa-bil-sag,DN
x-um,DN
{d}asar,DN
{d}nin-gesz-zi-da-ka,DN
x-x-ba,DN
x-a-ni,DN
{d}x-x-sag-tur,DN
ge6-zal-sze3(KU),DN
{d}szu-il-at,DN
ur5-ra-asz,DN
{d}en,DN
{d}...,DN
{d}en-ki-ka,DN
{d}nanna,DN
{d}indagra,DN
{d}szara2,DN
{d}nin-mug-ga,DN
uszum:gal,DN
{d}nin-isin2{si},DN
{d}en-lil2-ka,DN
da-mu,DN
{d}inanna,DN
x-me-esz2,DN
...-a-ka,DN
{d}nin-ur4-ra,DN
{d}nin-szubur-ka,DN
{d}ba-u2,DN
{d}hendur-sag-ga2,DN
...-a-da,DN
...-a-ba,DN
{d}lamma-x-x,DN
{d}nanna,DN
{d}nin-me-x,DN
irhan,DN
x-bi-isz,DN
{d}ga2-tum3-du10,DN
{d}pa4:u2,DN
{d}ul-ma-asz2,DN
{d}nanna,DN
{d}nin-lil2-ra,DN
{d}en-lil2,DN
{d}en-x,DN
{d}lamma-x-KA,DN
{d}inim-ma-ni-zi,DN
x-bi,DN
{d}ga2-tum3,DN
{d}ku3,DN
{d}inanna,DN
{d}{asz}asz7-gi4,DN
{d}ba-x-masz,DN
{d}amusz,DN
{d}nin-e2-gun3-a,DN
x-x-ni,DN
{d}nansze-ta,DN
{d}a2-alim-mah,DN
{d}nin-gir2-su,DN
{d}nin-gubalag,DN
{d}en-lil2,DN
{d}alamusz,DN
x-x-ir,DN
{d}al-la-gu-la,DN
{d}nin-gurdub2-a,DN
{d}nin-ka-si,DN
{d}nin-mar{ki}-ka,DN
{d}al-la-tum,DN
{d}ig-alim-ka,DN
{d}en-gal-du-du,DN
...-mu-ka,DN
{d}nanna,DN
a-nun,DN
KU7,DN
{d}nin-nigar{gar},DN
{d}pirig3,DN
{d}...,DN
{d}nanna-a,DN
{d}szakkan,DN
{d}nin-urta-ka-ka,DN
...-ne,DN
{d}nin-gesz-zi-da,DN
nin-x-ga,DN
{d}inanna,DN
{d}nanna-kar-zi-da,DN
{d}szakkan6,DN
{d}nin-a-zu,DN
{d}nin-ur4-ra,DN
{d}ul-ma-szi-tum,DN
{d}inanna,DN
uszum:gal-ni,DN
{d}nin-gir2-su,DN
{d}EZEN-masz,DN
{d}nansze(ZI2),DN
{d}inanna,DN
{d}a-gar3,DN
{d}nin-ur3,DN
{d}x-ra-DISZ,DN
{d}inanna,DN
{d}la-az,DN
{d}nin-ur4-ra,DN
{d}nin-gal,DN
{d}nanna,DN
x-a-ba,DN
x-kam,DN
{d}ma-al-ku-um,DN
{d}BAD,DN
{d}nansze-ta,DN
...-ne-ne,DN
{d}inanna,DN
{d}inanna,DN
{d}nin-mug,DN
{d}id2-da,DN
{d}x,DN
{d}en-ki,DN
{d}szara2,DN
{d}inanna,DN
sa,DN
{d}inanna,DN
{d}nin-i3-si-in-na,DN
{d}szara2,DN
{d}inanna,DN
{d}hendur-sag,DN
{d}szul-pa-e3(DU),DN
{d}en-ki,DN
nin-ki-gal-la,DN
{d}pa-bil2-sag(KA),DN
{d}lugal-u4-da-ka,DN
{d}inanna,DN
{d}palil,DN
{d}inanna,DN
x-ta-am3,DN
{d}utu-gin7,DN
{d}ig-alim,DN
{d}gu-la,DN
{d}nin-gir2-su,DN
{d}a-zu-zu,DN
{d}nansze-ta,DN
{d}inanna,DN
{d}asz7-gi4,DN
{d}inanna,DN
{d}GAD-ellag2,DN
{d}ab-ba,DN
{d}gesztin,DN
gu4,DN
{d}nin-gubalag-ga,DN
{d}nin-ur4-ra,DN
{d}liru,DN
...-mu,DN
{d}nin-imma3,DN
...-ne-er,DN
{d}nin-gir2-su,DN
{d}nin-...-ka,DN
x-x-x-x,DN
x,DN
{d}nin-tur,DN
{d}nanna,DN
{d}nin-gir2-su,DN
{d}nansze-ta,DN
...-ga2,DN
{d}en-lil2-la2,DN
{d}ab-ba-u2,DN
{d}mes-lam-ta-e3,DN
{d}en-x-mu,DN
{d}nin-ki-sur,DN
{d}lugal-uru11{ki}-ka,DN
{d}nansze-ta,DN
{d}sud3,DN
x-a-zu,DN
{d}pa-KU,DN
{d}szara2,DN
{d}nin-dub-ka,DN
muhaldim,DN
x-am3,DN
{d}ha-ia3,DN
{d}ma-ma,DN
{d}nam-ma-ni,DN
HAR-da,DN
{d}tuku-HAR,DN
szakkan-a,DN
szakkan2,DN
{d}nin-kar-ak,DN
{d}nin-in-si-na,DN
{d}a-zi-a,DN
{d}nin-szir,DN
{d}a-a,DN
{d}nin-x-sig-ga,DN
{d}inanna,DN
{d}szara2,DN
{d}mes-lam-ta-e3-a-ha-zi,DN
{d}nanna,DN
{d}nin-lil2-ra,DN
{d}en-lil2,DN
{d}nansze-da,DN
{d}nansze-mu,DN
{d}nin-USZ-ka-limmu2,DN
{d}gilgames3,DN
...-zu,DN
{d}er3-za,DN
{d}balag,DN
{d}suen-ka-ke4-ne,DN
{d}nin-ga-gi4-a,DN
{d}lugal-es3-sa2,DN
{d}nin-dar-a,DN
{d}a-nun-na,DN
{d}inanna,DN
an-na,DN
{d}en-lil2,DN
{d}nanna,DN
x-x-e-ne,DN
{d}nin-im-ma,DN
{d}nin-{d}nam2-la2-gar,DN
{d}szul-sza3-ga-na,DN
{d}isztaran,DN
sag-x-x,DN
{d}inanna,DN
x-x-x-x-mu,DN
an-na-ka,DN
{d}szara2,DN
{d}...-zu,DN
{d}nanna,DN
{d}nin-szuszin{ki},DN
{d}inanna,DN
{d}nin-sikil,DN
en,DN
{d}szara2,DN
{d}nin-lugal,DN
...-am3,DN
...-na-ka,DN
{d}asar(E2-SZARA2)-lu2-hi,DN
{d}inanna,DN
x-x-kal-le,DN
{d}szara2,DN
x-x-a-ni,DN
{d}sukkal,DN
{d}en-lil2-gin7,DN
{d}{ansze}dur9{ur3},DN
x-ba,DN
...-usz,DN
{d}inanna,DN
{d}inanna,DN
x-a-bi,DN
x-x-x-x-ba,DN
{d}ba-ba6-ke4-ne,DN
x-da-am3,DN
{d}en-lil2-la2,DN
...-e-ne-ka,DN
{d}USZ-ka,DN
{d}suen-na-da,DN
x-x-am3,DN
{d}gesztin-an-na-lugal-ba-ra-ab-e3,DN
{d}ga2-tum3-du10-ka,DN
...-um,DN
{d}szu-mah,DN
{d}am3-ma,DN
{d}inanna,DN
{d}szara2,DN
{d}nin-e2-gal,DN
x-mu-ka,DN
{d}szul-sza3-ga-na-ka,DN
{d}nin-zu,DN
{d}nin-{gesz}x-ga,DN
{d}nin-gi,DN
{d}nin-e2-gal-ka,DN
{d}nin-ildu2-ma,DN
...-a,DN
{d}gidim,DN
{d}nin-ka,DN
{d}nin-sun2,DN
nin-ki-im,DN
{d}nin-gesz-zi-da,DN
{d}en-lil2-la2-me-en,DN
{d}tiszpak,DN
{d}dumu-AN-zi,DN
{d}AB-zikum-mu,DN
{d}nin-sag,DN
...-mu-um,DN
{d}nin-e2-i3-gara2,DN
{d}nin-lil2-ra,DN
{d}en-lil2,DN
{d}gesz-bar-e3-i3-sa6,DN
{d}isz-bi-er3-ra-x,DN
{d}nin-si-gar-an-na,DN
{d}ba-ba6-a-zu,DN
{d}szara2,DN
{d}gibil6,DN
{d}en-...,DN
{d}nin-hur-sag-ib-sig,DN
{d}nin-lil2-la2,DN
{d}nanna,DN
{d}nanna,DN
{d}al-la-tum-ma,DN
{d}mi-szar,DN
{d}nanna-ke4-ne,DN
{d}nanna,DN
{d}ha-ia3,DN
{d}i7-lu2-ru-gu2,DN
{d}suen-ka,DN
{d}nin-ku3-nun-na-ka,DN
...-ta-am3,DN
lugal-x-x,DN
egir-{d}szul-pa-e3,DN
{d}inanna,DN
{d}nansze,DN
{d}nanna-ke4-zu,DN
szul-x-x,DN
{d}nin-e2-gal,DN
{d}isz-ha-ra,DN
{d}en-lil2-la2,DN
{d}nin-ur4-ra,DN
{d}pa5-u2,DN
x-mu,DN
{d}dumu-zi-abzu,DN
{d}inanna-ke4-ne,DN
{d}bil2-ga-mes,DN
{d}szara2,DN
x-la-a,DN
{d}nin-kasz,DN
{d}ul-ma-szi-tum,DN
{d}nin-x-x-da,DN
{d}nin-lil2,DN
{d}en-lil2,DN
{d}nanna,DN
{d}nin-nibru{ki},DN
x-x-na,DN
{d}nerah-a-gal2,DN
x-x-da,DN
{d}nin-isin2{si}-na{ki},DN
{d}nanna-zu,DN
{d}dumu-zi(MU),DN
{d}inanna,DN
{d}utu-a,DN
{d}e2-la2-an-na,DN
{d}szara2,DN
{d}nanna,DN
{d}ga-tum3-du10,DN
{d}inanna,DN
{d}nin-esz2-dam,DN
{d}udul2,DN
{d}mah,DN
{d}ha-ia3,DN
{d}inanna,DN
{d}lugal-edin,DN
{d}inanna,DN
{d}inanna,DN
{d}lugal-si-sa2,DN
{d}iszkur-ka,DN
{d}alamusz,DN
{d}a-ba-ba,DN
gudu4,DN
{d}nanna,DN
en-sag,DN
{d}en-lil2-la2-ta,DN
{d}li9-si4-na,DN
{d}ur-sag-imin,DN
{d}nin-urta,DN
{d}nanna,DN
ga2-tum3-du10,DN
({d}nin)-szubur,DN
{d}na-na-a,DN
{d}nin-nun-lil2,DN
{d}en-lil2,DN
szakkan-ni,DN
x-x-e-ne-ne,DN
{d}x-la,DN
{d}nin-iri-ni,DN
{d}inanna,DN
{d}iszkur-ra-kam,DN
x-a-ka,DN
{d}i-szar,DN
{d}lugal-gu2-du8-a,DN
en-gal-du-du,DN
e2-{d}al-la-gu-la,DN
{d}utu,DN
{d}{asz}aszgi{gi4},DN
{d}nirah,DN
x-gin7,DN
sag-NE,DN
{d}nanna,DN
{d}lugal-uru11{ki},DN
{d}...-kam,DN
{d}en-ki-a-ni,DN
{d}USZ-su6-tab-tab,DN
{d}gilgamesx(|BIL3.GA.MES|),DN
{d}a-igi-mah,DN
{d}ki-KU-AD,DN
{d}nin-ildum3,DN
esz18-dar,DN
{d}en-lil2-la2,DN
{d}szagan,DN
lugal-he2-gal2-la,DN
{d}asar-lu2-hi,DN
{d}nin-szubur-ga2,DN
{d}nin-us2-zu2-lum-ka,DN
{d}adad,DN
szandana,DN
{d}lal3,DN
{d}iszkur,DN
nin-KA,DN
{d}x-x-kal,DN
{d}nin-pa-e3,DN
{d}me-me-sa6-ga,DN
{d}mes-lam-ta-e3-a,DN
{d}nin-sun2,DN
{d}nin-USZ-ka-limmu2-za3,DN
{d}ulu3-x-x,DN
x-la,DN
{d}nin-ku3-nun,DN
{d}inanna,DN
x-ba-gir2,DN
{d}lugal-zimbir(|UD.KIB|){ki},DN
{d}nin-x-ka,DN
{d}utu,DN
{d}nin-x-x-x,DN
{d}nin-ur4-ra,DN
{d}nansze(AB),DN
{d}inanna,DN
{d}inanna,DN
{d}nansze-ta,DN
{d}nin-gir2-su,DN
{d}inanna,DN
{d}inanna,DN
{d}ga-an-sur,DN
{d}nanna-ar,DN
{d}alim-mah,DN
{d}dim-gal-abzu,DN
{d}nin-gubalag,DN
{d}en-ki,DN
{d}en-lil2,DN
{d}nin-lil2-ra,DN
lugal-x-x-ni,DN
...-ni,DN
{d}szul-pa-e3-mu,DN
{d}szesz-da-edin-na,DN
{d}al-la-tum,DN
{d}nanna,DN
{d}NE-szu-UD,DN
{d}inanna,DN
{d}nin-hur-sag-ka,DN
{d}inanna,DN
{d}lugal-u4-da,DN
{d}dumu-zi-da-kam,DN
{d}{a}asz7-da,DN
{d}nanna,DN
x-la-ni,DN
{d}nin-sza3-ge-pa3-da,DN
x-zu,DN
dumu-nun-na,DN
{d}nin-hur-sag-ka,DN
GESZ,DN
{d}inanna,DN
...-mu-usz,DN
{d}a-szur3,DN
{d}nanna,DN
{d}en-lil2-la2-sze3,DN
x-x-ka,DN
{d}en-lil2-a-ba,DN
{d}lugal-gu2-du8-a{ki},DN
{d}nin-gir2-su,DN
{d}nin-x-a-bi,DN
{d}inanna,DN
{d}nin-PA,DN
{d}inanna,DN
{d}lugal-zimbir{ki},DN
{d}en-ki,DN
{d}szakkan2-ba,DN
{d}nin-...,DN
{d}dumu-zi-da-ka,DN
{d}nanna,DN
{d}nin-zabala2{ki},DN
{d}inanna,DN
lugal-x-x-usz,DN
x-la-mu,DN
{d}nanna,DN
{d}suen,DN
{d}szara2-du6,DN
{d}inanna,DN
{d}nin-hur-sag-ga2-nin-kunga2-AH{ki},DN
{d}ba-ba6-ka,DN
{d}ti-ra-asz2,DN
{d}inanna-ka,DN
{d}en-lil2-la2,DN
{d}szara2,DN
{d}pa4-x,DN
{d}suen-dingir-x,DN
{d}nin-ur4-ra,DN
{d}nin-e2-gibil4-le,DN
{d}a-ba4,DN
{d}inanna,DN
{d}erisz-ki-gal,DN
e2-a,DN
{d}gu-la,DN
{d}nin-ezem,DN
{d}gesz-bar-e3,DN
dingir-ba,DN
{d}lugal-urub{ki},DN
{d}ur3-bar-tab,DN
{d}nin-gir2-su,DN
{d}nansze-ta,DN
{d}ba-ba6-da,DN
{d}nin-hur-sag,DN
{d}nanna,DN
...-ni-a,DN
x-za,DN
{d}...-bi,DN
{d}nin-lil2,DN
x-x-bi,DN
{d}dumu-zi-kam,DN
{d}nin-gesz-zi-da,DN
{d}zabala3{ki},DN
{d}inanna-sze3,DN
{d}kal-kal,DN
nin-dar-a,DN
an-na,DN
{d}inanna,DN
{d}ak-{d}suen,DN
szerszeri,DN
{d}li9-si4,DN
szu-hal-bi,DN
{d}inanna,DN
{d}nin-urta,DN
{d}x-x-{d}suen,DN
nin-hur-sag,DN
{d}inanna,DN
{d}nin-dub-ba,DN
{d}nin-gal,DN
{d}nin-szubur,DN
{d}nanna-kar-zi-da-ka,DN
{d}nin-ma-da,DN
...-za,DN
{d}nin-gir2-su-ka,DN
{d}inanna,DN
suen,DN
{d}inanna,DN
x-x-a-bi,DN
x-usz,DN
nin-a-zu,DN
{d}nin-ku3-nun-na,DN
nanna,DN
x-be6,DN
{d}nanna-ke4,DN
{d}si-sa2-kalam-ma,DN
{d}gu-la-ka,DN
{d}nun-gal,DN
{d}da-mu-ka,DN
{d}nanna(SZESZ),DN
{d}ansze-SU-ka,DN
{d}inanna,DN
x-ra,DN
{d}al-la,DN
{d}be-la-at-dar-ra-ba-an,DN
zi-zi-da,DN
{d}nanna-ka,DN
{d}en-da-bi,DN
unu3,DN
{d}i7-idigna,DN
{d}lugal-banda3{da},DN
{d}nin-dur,DN
{d}lamma{ma},DN
{d}nin-hur-sag-ga2,DN
{d}nanna-sze3,DN
{d}nin-tu,DN
{d}BAD-gar3-SZE3-tum,DN
{d}inanna,DN
{d}en-su3-ag2,DN
{d}lama,DN
{d}en-lil2-la2-sze3,DN
{d}mu-lu-GAN-x,DN
{d}inanna,DN
{d}inanna,DN
{d}saman4,DN
{d}szakkan2,DN
{d}en-lil2-kam,DN
{d}inanna,DN
{d}nanna-kar-zi-da-kam,DN
{d}inanna,DN
...-ba-am3,DN
{d}en-me-szar2,DN
{d}nansze,DN
{d}ab-u2,DN
{d}nansze-ka,DN
{d}da-da,DN
x-x-a-ka,DN
{d}x-a,DN
{d}nin-ur4-ra,DN
{d}gibil,DN
{d}asar-lu-hi,DN
{d}nin-gir-gi4-lu,DN
{d}engur,DN
{d}nusku,DN
niga,DN
{d}nanna-e2-tur3,DN
{d}nin-pu2-KA,DN
{d}nin-lil2-ka,DN
{d}ama-abzu-kar2,DN
mar-tu,EN
elam,EN
mar-tu,EN
elam,EN
elam,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
elam,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
elam,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
elam,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
elam,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
elam,EN
elam,EN
mar-tu,EN
elam,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
elam,EN
mar-tu,EN
elam,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
du6-kar-sag,FN
ezem-SAR,FN
{d}en-lil2-la2-igi-bar,FN
dal-ba-na-sag-erin-du8,FN
durux(U3),FN
ki-{d}szara2,FN
HAR-ma-KA,FN
{gesz}x-...,FN
sur3-mun-na,FN
la2-mah-ma,FN
gesz-gu2-i7,FN
e2-{d}inanna,FN
ur-e2-an-na-ka,FN
GAN2-gu-la,FN
lu2-x-da,FN
lugal-si4,FN
GAN2-{gesz}asal2,FN
su3-bi-an-na,FN
e2-bar,FN
a-ad-da,FN
igi-e2-duru5-elam-e-ne,FN
gu4-suhub2,FN
masz-gan2,FN
lugal-ab2-ga-gal2,FN
gaba-sza3-{d}en-lil2-la2-ka,FN
nag-esir2,FN
du6-ka,FN
a-ba-gal-sag-an-na,FN
nin-ab-sin2,FN
ul4-ul4-e-e2-babbar2,FN
{gesz}kiri6-su-gur8,FN
edin-{d}amar-{d}suen-gin7-du10,FN
{gesz}asal2,FN
u2-du-mu-ul-li,FN
zabala2{ki},FN
GAN2-ku3,FN
lugal-iri-da,FN
{dingir}pi-li-ha,FN
a-gara2,FN
a-ka-...,FN
x-i3-GAN2-na-ka,FN
mah-gu2-i7-na-ra-am-sza,FN
igi-un-sa6-ga,FN
ub-szu-i-ne,FN
elam-gar,FN
inim-ni-zi-da,FN
sur3-ad6,FN
e-{gesz}ge6-par4,FN
esz3-didli-ma-da,FN
a-ka-sahar-tur,FN
{d}szara2-muru13,FN
ka-ma-ri2,FN
{d}amar-{d}suen-ki-ag2-{d}nin-gir2-su-ka,FN
e2-gibil4-le,FN
ama-ra-ki-ag2-hu-rim3{ki}-x,FN
gaba-nigin9-dara3,FN
e2-lugal,FN
e-e2-a-gar,FN
a-sza3-igi-du8,FN
da-da,FN
{d}nin-mar{ki}-palil,FN
kar-ra-hu-um-ma,FN
kar2-babbar,FN
{gesz}balag,FN
ka-ma-ri2{ki}-ka,FN
u3-{d}nanna-gu2-gal,FN
SZE3-zi,FN
gig-dar,FN
du6-{d}ur3-bar-tab,FN
e-gu3-de2-a,FN
SIG7-a,FN
sipa-da-ka,FN
sa6-du3-a,FN
ur-mes,FN
su-szim,FN
di-...,FN
lu2-giri17-zal,FN
ambar-es3-sa2-{d}nin-dar-a,FN
nin-asz2-gar3-zi,FN
gi-apin-ku5-a,FN
GIN2-masz-lu,FN
u3-i7-nun,FN
ansze-gu4-gid2-da,FN
durux(U3)-{d}nanna-gu2-gal,FN
gesz-gi-banda3{da},FN
ur-{d}en-sig-nun,FN
ki-ag2,FN
szu-nu-du6,FN
ambar-es3-sa2-{d}dumu-zi,FN
ur-{d}nin-mug-ga-lukur-U,FN
ur-sukkal,FN
GAN2-gesz-asar,FN
me-li-sza3,FN
bar-rim4(DU)-gu-la,FN
a-bara2-gibil,FN
amar-kiszi17-a2-kam-sal4-la{ki},FN
tu,FN
bar-ra-AN,FN
pu2-bu-...,FN
ku-gara2-lum,FN
akszak2,FN
e2-nig2-IL2,FN
ur-sa6-ga-mu,FN
{d}szara2-gu2-gal-an-ne2-ga2,FN
gudu4-a-za-rum-sza,FN
u4-DU-tur-tur,FN
kar-ansze,FN
ugnim-{d}nansze,FN
su-siki-bu-edin,FN
apin-til-GAN2-kam,FN
e2-gibil4-le-x,FN
gibil4,FN
